symbol,forecast_errors,trend_accuracy
BH,"{'SMA': 18.476608120878403, 'EMA': 15.54755900089131, 'SES': 120.13136236933633, 'DES': 160.1178503395519}",0.49321266968325794
CRH,"{'SMA': 1.3326478378049, 'EMA': 1.1391116455983565, 'SES': 8.775362652273039, 'DES': 6.198171778605296}",0.5132237312365976
OXSQZ,"{'SMA': 2.7338225779169196, 'EMA': 2.3232864380623766, 'SES': 4.257579472922943, 'DES': 4.317710142585899}",0.4634146341463415
MNDO,"{'SMA': 0.08455915543404066, 'EMA': 0.07220613713180327, 'SES': 0.3495322255630547, 'DES': 1.2390642229585698}",0.6006128702757916
PZN,"{'SMA': 0.5677171566847434, 'EMA': 0.47222457007024643, 'SES': 3.0062816774695458, 'DES': 3.127889195616304}",0.5
